Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-07-07,132.91,133.0,131.69,132.54,4994080.0,0.0,1.0,125.23932234609083,125.32412814709262,124.08973259917765,124.89067627530568,4994080.0
2017-07-06,133.61,133.97,132.405,132.52,4282244.0,0.0,1.0,125.89892302054923,126.23814622455639,124.763467573803,124.87183054174974,4282244.0
2017-07-05,132.98,134.06,132.42,133.64,4302669.0,0.0,1.0,125.30528241353666,126.32295202555818,124.77760187396996,125.92719162088314,4302669.0
2017-07-03,132.79,133.32,132.65,132.9,2930998.0,0.0,1.0,125.12624794475511,125.62565988398788,124.99432780986344,125.22989947931286,2930998.0
2017-06-30,132.7,133.2,132.28,132.29,5264416.0,0.0,1.0,125.04144214375332,125.51258548265216,124.6456817390783,124.65510460585627,5264416.0
2017-06-29,133.4,133.7276,132.31,132.64,5749952.0,0.0,1.0,125.7010428182117,126.00973593385822,124.67395033941223,124.98490494308545,5749952.0
2017-06-28,135.95,136.2,133.57,133.82,6557766.0,0.0,1.0,128.1038738465958,128.33944551604523,125.8612315534373,126.09680322288672,6557766.0
2017-06-27,136.5,136.73,134.99,135.01,6120536.0,0.0,1.0,128.62213151938454,128.838857455278,127.19927863591003,127.21812436946597,6120536.0
2017-06-26,136.48,136.899,136.2,136.34,5561844.0,0.0,1.0,128.60328578582858,128.9981039038258,128.33944551604523,128.47136565093692,5561844.0
2017-06-23,135.45,136.51,135.32,136.43,9007077.0,0.0,1.0,127.63273050769695,128.63155438616252,127.51023323958326,128.5561714519387,9007077.0
2017-06-22,135.45,137.0,135.27,136.05,7311037.0,0.0,1.0,127.63273050769695,129.0932748582834,127.46311890569339,128.1981025143756,7311037.0
2017-06-21,134.29,135.11,134.02,134.91,5841053.0,0.0,1.0,126.53967796145164,127.31235303724577,126.28526055844628,127.12389570168621,5841053.0
2017-06-20,133.9,134.755,133.9,134.22,5201174.0,0.0,1.0,126.17218615711056,126.97784126662756,126.17218615711056,126.4737178940058,5201174.0
2017-06-19,134.15,134.68,133.49,134.07,7488549.0,0.0,1.0,126.40775782655997,126.90716976579276,125.78584861921351,126.33237489233615,7488549.0
2017-06-16,133.72,134.605,133.04,134.35,12639630.0,0.0,1.0,126.00257455510696,126.83649826495791,125.36181961420453,126.5962151621195,12639630.0
2017-06-15,132.0,133.35,131.805,133.04,5264996.0,0.0,1.0,124.38184146929494,125.65392848432181,124.1980955671244,125.36181961420453,5264996.0
2017-06-14,132.51,133.56,132.51,132.77,7329276.0,0.0,1.0,124.86240767497175,125.85180868665934,124.86240767497175,125.10740221119917,7329276.0
2017-06-13,131.75,132.73,131.4,132.02,5733817.0,0.0,1.0,124.14626979984551,125.06971074408725,123.81646946261633,124.4006872028509,5733817.0
2017-06-12,131.64,132.04,131.09,131.82,8020853.0,0.0,1.0,124.04261826528776,124.41953293640684,123.52436059249905,124.21222986729134,8020853.0
2017-06-09,130.37,131.7,130.31,131.53,5993031.0,0.0,1.0,122.84591418448471,124.09915546595562,122.78937698381685,123.93896673073003,5993031.0
2017-06-08,131.0,131.4,129.96,130.55,8101669.0,0.0,1.0,123.43955479149724,123.81646946261633,122.45957664658766,123.0155257864883,8101669.0
2017-06-07,131.0,131.48,130.58,130.75,5765471.0,0.0,1.0,123.43955479149724,123.89185239684014,123.04379438682223,123.20398312204783,5765471.0
2017-06-06,130.18,131.33,130.03,130.83,5619093.0,0.0,1.0,122.66687971570315,123.7505093951705,122.52553671403349,123.27936605627166,5619093.0
2017-06-05,129.97,130.7,129.8,130.36,4634663.0,0.0,1.0,122.46899951336563,123.15686878815794,122.30881077814003,122.83649131770675,4634663.0
2017-06-02,129.05,130.14,128.83,130.08,6562527.0,0.0,1.0,121.60209576979177,122.62918824859122,121.39479270067628,122.57265104792339,6562527.0
2017-06-01,128.32,128.78,128.12,128.78,5790899.0,0.0,1.0,120.91422649499944,121.34767836678638,120.7257691594399,121.34767836678638,5790899.0
2017-05-31,127.35,128.8,127.35,128.25,8813511.0,0.0,1.0,120.00020841753567,121.36652410034235,120.00020841753567,120.84826642755361,8813511.0
2017-05-30,126.7,127.3901,126.19,127.11,3665353.0,0.0,1.0,119.3877220769672,120.03799411331538,118.90715587129037,119.77405961486424,3665353.0
2017-05-26,127.23,127.67,126.83,126.92,4005234.0,0.0,1.0,119.88713401619997,120.30174015443095,119.51021934508088,119.59502514608268,4005234.0
2017-05-25,126.74,127.62,126.33,127.53,5291963.0,0.84,1.0,119.42541354407909,120.25462582054107,119.03907600618204,120.16982001953927,5291963.0
2017-05-24,127.79,128.0,127.29,127.51,3967685.0,0.0,1.0,119.62686998751207,119.8234553439357,119.15880961507482,119.3647561789472,3967685.0
2017-05-23,127.31,128.15,127.31,127.52,3973025.0,0.0,1.0,119.1775320299723,119.96387345566689,119.1775320299723,119.37411738639594,3973025.0
2017-05-22,126.63,127.65,126.63,127.26,4858159.0,0.0,1.0,118.54096992345764,119.49581308322963,118.54096992345764,119.13072599272859,4858159.0
2017-05-19,127.03,127.39,126.44,127.0,6957196.0,0.0,1.0,118.91541822140745,119.25242168956227,118.36310698193148,118.8873345990612,6957196.0
2017-05-18,126.46,127.87,125.96,126.97,6571254.0,0.0,1.0,118.38182939682898,119.70175964710202,117.91376902439173,118.85925097671497,6571254.0
2017-05-17,126.6,127.89,126.45,126.67,6480802.0,0.0,1.0,118.51288630111141,119.7204820619995,118.37246818938024,118.57841475325263,6480802.0
2017-05-16,127.34,128.37,127.06,127.77,7233801.0,0.0,1.0,119.20561565231854,120.16982001953927,118.94350184375368,119.60814757261457,7233801.0
2017-05-15,124.41,127.36,124.33,126.99,9819371.0,0.0,1.0,116.46278186983625,119.22433806721602,116.38789221024629,118.87797339161246,9819371.0
2017-05-12,123.11,124.1,123.01,123.64,4097060.0,0.0,1.0,115.24582490149942,116.17258443892516,115.15221282701197,115.7419688962829,4097060.0
2017-05-11,122.5,123.21,122.34,123.2,4095893.0,0.0,1.0,114.67479124712597,115.33943697598686,114.52501192794605,115.33007576853812,4095893.0
2017-05-10,122.91,123.055,122.38,122.81,4237412.0,0.0,1.0,115.05860075252451,115.19433826053132,114.56245675774102,114.96498867803706,4237412.0
2017-05-09,123.23,123.47,122.88,123.21,3762488.0,0.0,1.0,115.35815939088435,115.58282836965424,115.03051713017827,115.33943697598686,3762488.0
2017-05-08,123.53,123.8,123.02,123.25,3609058.0,0.0,1.0,115.6389956143467,115.89174821546281,115.1615740344607,115.37688180578184,3609058.0
2017-05-05,123.8,123.8,122.86,123.51,4139755.0,0.0,1.0,115.89174821546281,115.89174821546281,115.01179471528079,115.62027319944922,4139755.0
2017-05-04,123.69,123.95,123.23,123.95,3753201.0,0.0,1.0,115.78877493352662,116.03216632719399,115.35815939088435,116.03216632719399,3753201.0
2017-05-03,123.59,123.7,123.04,123.33,3736331.0,0.0,1.0,115.69516285903917,115.79813614097537,115.18029644935821,115.4517714653718,3736331.0
2017-05-02,123.52,123.74,122.89,123.7,4881641.0,0.0,1.0,115.62963440689795,115.83558097077034,115.03987833762702,115.79813614097537,4881641.0
2017-05-01,123.4,123.775,123.0,123.34,4556360.0,0.0,1.0,115.51729991751303,115.86834519684096,115.14285161956322,115.46113267282055,4556360.0
2017-04-28,123.85,123.9,123.13,123.47,4381766.0,0.0,1.0,115.93855425270654,115.98536028995026,115.2645473163969,115.58282836965424,4381766.0
2017-04-27,123.58,124.3057,123.4,123.74,4225165.0,0.0,1.0,115.68580165159042,116.36514447614584,115.51729991751303,115.83558097077034,4225165.0
2017-04-26,123.79,124.26,123.48,123.51,5021839.0,0.0,1.0,115.88238700801408,116.32236375810508,115.59218957710299,115.62027319944922,5021839.0
2017-04-25,123.34,123.745,123.01,123.43,5089987.0,0.0,1.0,115.46113267282055,115.84026157449472,115.15221282701197,115.54538353985926,5089987.0
2017-04-24,122.52,123.21,122.15,122.89,5679021.0,0.0,1.0,114.69351366202345,115.33943697598686,114.3471489864199,115.03987833762702,5679021.0
2017-04-21,121.78,122.04,121.54,121.76,6021721.0,0.0,1.0,114.00078431081633,114.24417570448371,113.77611533204646,113.98206189591885,6021721.0
2017-04-20,121.86,122.15,121.35,121.87,6330136.0,0.0,1.0,114.07567397040629,114.3471489864199,113.59825239052029,114.08503517785503,6330136.0
